contract_number,contract_description,contract_award_date,activity_type,nature_of_activity,contract_priority,contract_completion_date,planned_completion_date,number_of_workfronts,access_type,number_of_maximum_access_per_week
T4301,Four-C packing programme 1,2066-01-22,Construction,Non-live (Others),1,2027-06-06,2027-02-14,1,C,3
T4302,Four-C packing programme 2,2066-02-08,Renewal,Non-live (Others),2,2027-06-06,2027-02-14,1,C,3
T4303,Four-C packing programme 3,2066-02-25,Construction,Non-live (Others),3,2027-06-06,2027-02-14,1,C,3
T4304,Four-C packing programme 4,2066-03-14,Renewal,Non-live (Others),1,2027-06-06,2027-02-14,1,C,3
T4305,Four-C packing programme 5,2066-03-31,Construction,Non-live (Others),2,2027-06-06,2027-02-14,1,C,3
T4306,Four-C packing programme 6,2066-04-17,Renewal,Non-live (Others),3,2027-06-06,2027-02-14,1,C,3
T4307,Four-C packing programme 7,2066-05-04,Construction,Non-live (Others),1,2027-06-06,2027-02-14,1,C,3
T4308,Four-C packing programme 8,2066-05-21,Renewal,Non-live (Others),2,2027-06-06,2027-02-14,1,C,3
T4309,Four-C packing programme 9,2066-06-07,Construction,Non-live (Others),3,2027-06-06,2027-02-14,1,C,3
T4310,Four-C packing programme 10,2066-06-24,Renewal,Non-live (Others),1,2027-06-06,2027-02-14,1,C,3
T4311,Four-C packing programme 11,2066-07-11,Construction,Non-live (Others),2,2027-06-06,2027-02-14,1,C,3
T4312,Four-C packing programme 12,2066-07-28,Renewal,Non-live (Others),3,2027-06-06,2027-02-14,1,C,3
T4313,Four-C packing programme 13,2066-08-14,Construction,Non-live (Others),1,2027-06-06,2027-02-14,1,C,3
T4314,Four-C packing programme 14,2066-08-31,Renewal,Non-live (Others),2,2027-06-06,2027-02-14,1,C,3
T4315,Four-C packing programme 15,2066-09-17,Construction,Non-live (Others),3,2027-06-06,2027-02-14,1,C,3
T4316,Four-C packing programme 16,2066-10-04,Renewal,Non-live (Others),1,2027-06-06,2027-02-14,1,C,3
T4317,Four-C packing programme 17,2066-10-21,Construction,Non-live (Others),2,2027-06-06,2027-02-14,1,C,3
T4318,Four-C packing programme 18,2066-11-07,Renewal,Non-live (Others),3,2027-06-06,2027-02-14,1,C,3
T4319,Four-C packing programme 19,2066-11-24,Construction,Non-live (Others),1,2027-06-06,2027-02-14,1,C,3
T4320,Four-C packing programme 20,2066-12-11,Renewal,Non-live (Others),2,2027-06-06,2027-02-14,1,C,3
T4321,Four-C packing programme 21,2066-12-28,Construction,Non-live (Others),3,2027-06-06,2027-02-14,1,C,3
T4322,Four-C packing programme 22,2067-01-14,Renewal,Non-live (Others),1,2027-06-06,2027-02-14,1,C,3
T4323,Four-C packing programme 23,2067-01-31,Construction,Non-live (Others),2,2027-06-06,2027-02-14,1,C,3
T4324,Four-C packing programme 24,2067-02-17,Renewal,Non-live (Others),3,2027-06-06,2027-02-14,1,C,3
