activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA43001,T4301,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,1
TA43011,T4302,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,2
TA43021,T4303,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,3
TA43031,T4304,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,1
TA43041,T4305,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,2
TA43051,T4306,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-04,,3
TA43061,T4307,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,1
TA43071,T4308,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA43081,T4309,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,3
TA43091,T4310,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,1
TA43101,T4311,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,2
TA43111,T4312,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-04,,3
TA43121,T4313,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,1
TA43131,T4314,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,2
TA43141,T4315,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,3
TA43151,T4316,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,1
TA43161,T4317,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,2
TA43171,T4318,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-01-04,,3
TA43181,T4319,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA43191,T4320,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,2
TA43201,T4321,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,3
TA43211,T4322,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,1
TA43221,T4323,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,2
TA43231,T4324,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-01-04,,3
