activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA44001,T4401,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,2,2027-01-11,,1
TA44002,T4401,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,3,2027-01-11,,2
TA44003,T4401,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:S05_S06:EB,2,2027-01-11,,3
TA44011,T4402,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,3,2027-01-18,,2
TA44012,T4402,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-18,,3
TA44013,T4402,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S06_S07:WB,3,2027-01-18,,1
TA44021,T4403,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-25,,3
TA44022,T4403,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,3,2027-01-25,,1
TA44023,T4403,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,2,2027-01-25,,2
TA44031,T4404,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,3,2027-02-01,,1
TA44032,T4404,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-02-01,,2
TA44033,T4404,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,3,2027-02-01,,3
TA44041,T4405,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,2,2027-01-11,,2
TA44042,T4405,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,3
TA44043,T4405,Renewal,SEC:BET:H01_H02:EB,SEC:BET:S15_S16:EB,2,2027-01-11,,1
TA44051,T4406,Construction,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,3,2027-01-18,,3
TA44052,T4406,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-18,,1
TA44053,T4406,Construction,SEC:BET:H02_S15:WB,SEC:BET:S16_S17:WB,3,2027-01-18,,2
TA44061,T4407,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-25,,1
TA44062,T4407,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,3,2027-01-25,,2
TA44063,T4407,Renewal,SEC:BET:S13_S14:EB,SEC:BET:H01_H02:EB,2,2027-01-25,,3
TA44071,T4408,Construction,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,3,2027-02-01,,2
TA44072,T4408,Construction,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2027-02-01,,3
TA44073,T4408,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,3,2027-02-01,,1
TA44081,T4409,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,2,2027-01-11,,3
TA44082,T4409,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,3,2027-01-11,,1
TA44083,T4409,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:S05_S06:EB,2,2027-01-11,,2
TA44091,T4410,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,3,2027-01-18,,1
TA44092,T4410,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-01-18,,2
TA44093,T4410,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:S06_S07:WB,3,2027-01-18,,3
TA44101,T4411,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-25,,2
TA44102,T4411,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,3,2027-01-25,,3
TA44103,T4411,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,2,2027-01-25,,1
TA44111,T4412,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,3,2027-02-01,,3
TA44112,T4412,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-02-01,,1
TA44113,T4412,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,3,2027-02-01,,2
TA44121,T4413,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,2,2027-01-11,,1
TA44122,T4413,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-01-11,,2
TA44123,T4413,Renewal,SEC:BET:H01_H02:EB,SEC:BET:S15_S16:EB,2,2027-01-11,,3
TA44131,T4414,Construction,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,3,2027-01-18,,2
TA44132,T4414,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-01-18,,3
TA44133,T4414,Construction,SEC:BET:H02_S15:WB,SEC:BET:S16_S17:WB,3,2027-01-18,,1
TA44141,T4415,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-25,,3
TA44142,T4415,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,3,2027-01-25,,1
TA44143,T4415,Renewal,SEC:BET:S13_S14:EB,SEC:BET:H01_H02:EB,2,2027-01-25,,2
TA44151,T4416,Construction,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,3,2027-02-01,,1
TA44152,T4416,Construction,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2027-02-01,,2
TA44153,T4416,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,3,2027-02-01,,3
