activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
TA45001,T4501,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,2,2027-01-04,,1
TA45002,T4501,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,3,2027-01-11,,2
TA45003,T4501,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:S05_S06:WB,4,2027-01-18,,3
TA45004,T4501,Construction,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,5,2027-01-25,TA45002,1
TA45011,T4502,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,3,2027-01-18,,2
TA45012,T4502,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,4,2027-01-25,,3
TA45013,T4502,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,5,2027-02-01,,1
TA45014,T4502,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-02-08,,2
TA45021,T4503,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,4,2027-02-01,,3
TA45022,T4503,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,5,2027-02-08,,1
TA45023,T4503,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,2,2027-02-15,,2
TA45024,T4503,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-02-22,TA45022,3
TA45031,T4504,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,5,2027-02-15,,1
TA45032,T4504,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-02-22,,2
TA45033,T4504,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,3,2027-03-01,,3
TA45034,T4504,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S06_S07:WB,4,2027-03-08,,1
TA45041,T4505,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-03-01,,2
TA45042,T4505,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,3,2027-03-08,,3
TA45043,T4505,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S03_S04:WB,4,2027-01-04,,1
TA45044,T4505,Construction,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,5,2027-01-11,TA45042,2
TA45051,T4506,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,3,2027-01-04,,3
TA45052,T4506,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,4,2027-01-11,,1
TA45053,T4506,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,5,2027-01-18,,2
TA45054,T4506,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,2,2027-01-25,,3
TA45061,T4507,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,4,2027-01-18,,1
TA45062,T4507,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,5,2027-01-25,,2
TA45063,T4507,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S07_S08:EB,2,2027-02-01,,3
TA45064,T4507,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,3,2027-02-08,TA45062,1
TA45071,T4508,Renewal,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,5,2027-02-01,,2
TA45072,T4508,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,2,2027-02-08,,3
TA45073,T4508,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S14_H01:EB,3,2027-02-15,,1
TA45074,T4508,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,4,2027-02-22,,2
TA45081,T4509,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,2,2027-02-15,,3
TA45082,T4509,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,3,2027-02-22,,1
TA45083,T4509,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:S05_S06:WB,4,2027-03-01,,2
TA45084,T4509,Construction,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,5,2027-03-08,TA45082,3
TA45091,T4510,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,3,2027-03-01,,1
TA45092,T4510,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,4,2027-03-08,,2
TA45093,T4510,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,5,2027-01-04,,3
TA45094,T4510,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-01-11,,1
TA45101,T4511,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,4,2027-01-04,,2
TA45102,T4511,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,5,2027-01-11,,3
TA45103,T4511,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,2,2027-01-18,,1
TA45104,T4511,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-01-25,TA45102,2
TA45111,T4512,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,5,2027-01-18,,3
TA45112,T4512,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-01-25,,1
TA45113,T4512,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,3,2027-02-01,,2
TA45114,T4512,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S06_S07:WB,4,2027-02-08,,3
TA45121,T4513,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-02-01,,1
TA45122,T4513,Construction,SEC:BET:S15_S16:EB,SEC:BET:S16_S17:EB,3,2027-02-08,,2
TA45123,T4513,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S03_S04:WB,4,2027-02-15,,3
TA45124,T4513,Construction,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,5,2027-02-22,TA45122,1
TA45131,T4514,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,3,2027-02-15,,2
TA45132,T4514,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,4,2027-02-22,,3
TA45133,T4514,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,5,2027-03-01,,1
TA45134,T4514,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,2,2027-03-08,,2
TA45141,T4515,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S03_S04:WB,4,2027-03-01,,3
TA45142,T4515,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,5,2027-03-08,,1
TA45143,T4515,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S07_S08:EB,2,2027-01-04,,2
TA45144,T4515,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,3,2027-01-11,TA45142,3
TA45151,T4516,Renewal,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,5,2027-01-04,,1
TA45152,T4516,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,2,2027-01-11,,2
TA45153,T4516,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S14_H01:EB,3,2027-01-18,,3
TA45154,T4516,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,4,2027-01-25,,1
TA45161,T4517,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,2,2027-01-18,,2
TA45162,T4517,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,3,2027-01-25,,3
TA45163,T4517,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:S05_S06:WB,4,2027-02-01,,1
TA45164,T4517,Construction,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,5,2027-02-08,TA45162,2
TA45171,T4518,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,3,2027-02-01,,3
TA45172,T4518,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S05_S06:WB,4,2027-02-08,,1
TA45173,T4518,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,5,2027-02-15,,2
TA45174,T4518,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-02-22,,3
TA45181,T4519,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,4,2027-02-15,,1
TA45182,T4519,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,5,2027-02-22,,2
TA45183,T4519,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,2,2027-03-01,,3
TA45184,T4519,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-03-08,TA45182,1
TA45191,T4520,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,5,2027-03-01,,2
TA45192,T4520,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,2,2027-03-08,,3
TA45193,T4520,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,3,2027-01-04,,1
TA45194,T4520,Renewal,SEC:ALP:S06_S07:WB,SEC:ALP:S06_S07:WB,4,2027-01-11,,2
TA45201,T4521,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,3
