activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,-5,not-a-date,A001,9
A001,C404,Construction,BADLOCATION,SEC:ALP:S01_S02:WB,0,2027-13-40,UNKNOWN,high
A002,NO_SUCH_CONTRACT,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,,1
A003,C002,Renewal,SEC:ALP:S01_S02:EB,SEC:BET:S11_S12:EB,2,2027-01-04,,1
A004,C002,Renewal,PLAT:ALP:S01:EB,PLAT:ALP:S02:EB,2,2027-01-04,,2
A005,C002,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:WB,lots,2027-01-04,,3
A006,C002,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,A007,2
A007,C002,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,A006,2
,C002,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,2
A008,C003,UnknownType,SEC:ALP:S99_S100:EB,SEC:ALP:S99_S100:EB,999999,1900-01-01,,0
A009,C004,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,3.7,,A999,-1
A010,C002,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,2,EXTRA_FIELD
